Latitude,Longitude,Zones,Lab,Ag,B,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,V,Zn,As,Sb,Se,Hg,Fe,Al,pH H2O,pH KCl,PM,K+,Ca2+,Mg2+,Al3+,H+Al,SB,ECEC,CEC,V (%),m (%),SOM,PREM,Coarse sand,Fine sand,Silt,Clay
-16.09072,-40.017,MA,UFV1,0,3.33,47.41,1,2.9,25.35,18.86,73.88,2.520566,8.18,4.44,20.75,35.98,9.55,3.06,0.16,0.29,0.0342896437742502,19227.48,32870.99,4.2,4.1,0.4,6,0,0,0.4,5.7,0,0.5,5.7,0.5,93.5,1.5,30.7,65,6,3,26
-15.53394,-42.17131,MA,UFV1,0,4.74,23.08,1.13,2.08,36.01,19.45,46,0.455179433909691,7.71,22.29,2.6,50.02,21.27,0.88,0.09,0.56,0.0342896437742502,24120.18,39768.3,5.1,3.9,0.5,103,0.6,0.7,0.4,2.9,1.6,2.1,4.5,35.8,21,0.9,22.2,16,19,14,51
-15.96119,-44.91097,SF,UFV1,0,8.029999999999998,2,2.69,0.77,77.44,46.04,50.72,0.454376,4.69,10,1.43,137.52,20.87,8.279999999999998,0.52,0.48,0.08,66544.92,80402.44,4.4,4.3,0.3,4,0,0,0.3,7.3,0,0.3,7.3,0.3,93.5,2.4,7.7,6,6,22,66
-16.25847,-46.81039,SF,UFV1,0,2.72,11.03,0.94,0.94,43.78,19.94,43.77,0.476819,7.9,29.77,3.06,46.13,133.61,3.14,0.19,0.25,0.0342896437742502,19096.35,33366.99,4.3,3.7,14.9,16,0,0,0.9,10.2,0.1,1,10.3,0.9,91.1,4.2,27.3,10,17,51,22
-16.00886,-45.13083,SF,UFV1,0,6.53,165.34,1.45,2.18,62.19,46.17,17.34,1.272425,17.11,28.52,19.74,88.09,25.18,4.72,0.15,0.54,0.0342896437742502,36590.78,61152.66,3.8,3.8,8,89,0.5,0.2,1.2,15.3,0.9,2.1,16.2,5.8,55.2,9.3,14.6,18,30,21,31
-15.92875,-44.94075,SF,UFV1,0,3.25,6.51,1.11,0.68,34.67,19.27,18.7,0.403873,3.42,3.31,1.24,44.63,11.53,4.2,0.2,0.42,0.0342896437742502,27129.48,44669.3,4.8,4.4,0.4,3,0,0,0.1,4,0,0.1,4,0.5,71.4,1,25.2,46,36,3,15
-16.12953,-40.41939,MA,UFV1,0,14.87,21.35,3.86,1.24,67.3,67.62,23.06,0.455179433909691,2.74,11.67,2.62,74.59,21.41,2.65,0.29,1.27,0.16,101809.09,101081.5,4.6,4.4,0.4,10,0,0,0.1,5.2,0,0.2,5.2,0.8,77.8,2.3,13.6,39,34,7,20
-16.12953,-40.41939,MA,UFV1,0,5.39,1.37,1.15,0.64,44.89,19.56,40.88,0.455179433909691,4.79,9.44,2.22,62.44,25,3.27,0.13,0.27,0.0342896437742502,23671.22,63640.55,4.5,4.1,1.5,17,0,0,0.6,7.3,0.1,0.7,7.4,1.2,87.5,2.9,21.3,15,32,9,44
-20.66975,-46.69942,TO,UFV1,0,5.52,32.93,1.51,29.87,68.8,37.98,268.1,0.455179433909691,9.49,21.83,4.77,35.35,38.44,1.07,0.11,0.0466662,0.0342896437742502,36542.53,14945.81,6.5,5.8,6,90,1.8,0.6,0,2.4,2.7,2.7,5.1,53,0,1.3,45.4,49,36,7,8
-21.05153,-45.13414,SF,UFV1,0,5.83,191.84,1.55,6.24,7.03,31.55,224.05,0.455179433909691,3.98,32.47,15.27,15.56,81.99,0.61,0.11,0.0466662,0.0342896437742502,32182.7,39008.69,5.3,4.2,1.3,45,2.4,0.5,0.2,5.6,3,3.1,8.6,34.5,6.1,4.1,30.9,32,16,23,29
